ModelID,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,BLVRB_RNA,BLVRB_Protein,BLVRB_dependency,BLVRB_effect,Is_Breast_Cancer
ACH-000001,NIH:OVCAR-3,NIHOVCAR3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,3.804766054519673,-1.725450568,0.769805296,-0.757274603,0
ACH-000002,HL-60,HL60,Myeloid,Acute Myeloid Leukemia,3.169937825341236,,,,0
ACH-000003,CACO2,CACO2,Bowel,Colorectal Adenocarcinoma,6.3935311803868045,,,,0
ACH-000004,HEL,HEL,Myeloid,Acute Myeloid Leukemia,7.942666977245595,1.944046634,0.00824432,0.102092772,0
ACH-000004,HEL,HEL,Myeloid,Acute Myeloid Leukemia,7.943007048826172,1.944046634,0.00824432,0.102092772,0
ACH-000005,HEL 92.1.7,HEL9217,Myeloid,Acute Myeloid Leukemia,6.697787717213286,1.094962354,0.058417478,-0.154392579,0
ACH-000006,MONO-MAC-6,MONOMAC6,Myeloid,Acute Myeloid Leukemia,5.072980415779453,-0.843068685,,,0
ACH-000007,LS513,LS513,Bowel,Colorectal Adenocarcinoma,6.090548603523004,0.197284872,0.005795976,0.094359419,0
ACH-000008,A101D,A101D,Skin,Melanoma,5.6248817043345705,-0.572751244,,,0
ACH-000008,A101D,A101D,Skin,Melanoma,5.6260711149128815,-0.572751244,,,0
ACH-000009,C2BBe1,C2BBE1,Bowel,Colorectal Adenocarcinoma,6.161162122563439,,0.006616668,0.142686641,0
ACH-000011,253J,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,7.884042273849372,,0.039910059,-0.087754094,0
ACH-000012,HCC-827,HCC827,Lung,Non-Small Cell Lung Cancer,4.899185299985916,-0.901974369,0.029093399,-0.037733206,0
ACH-000013,ONCO-DG-1,ONCODG1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.059701372146302,,0.064882566,-0.106124947,0
ACH-000014,Hs 294T,HS294T,Skin,Melanoma,5.926998044256479,-0.525803092,0.003741591,0.17907875,0
ACH-000015,NCI-H1581,NCIH1581,Lung,Non-Small Cell Lung Cancer,6.084370464729913,0.520783413,0.016381385,-0.017990465,0
ACH-000015,NCI-H1581,NCIH1581,Lung,Non-Small Cell Lung Cancer,5.795738380309445,0.520783413,0.016381385,-0.017990465,0
ACH-000016,SLR 21,SLR21,Kidney,Renal Cell Carcinoma,6.944600798688203,,,,0
ACH-000017,SK-BR-3,SKBR3,Breast,Invasive Breast Carcinoma,7.637429115539709,,0.04665189,-0.051591394,1
ACH-000018,T24,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.158518806924273,-1.50473341,0.032816885,-0.074263977,0
ACH-000019,MCF7,MCF7,Breast,Invasive Breast Carcinoma,8.129401519170623,1.440359558,0.027929341,-0.063231312,1
ACH-000019,MCF7,MCF7,Breast,Invasive Breast Carcinoma,8.129226338526456,1.440359558,0.027929341,-0.063231312,1
ACH-000020,MHH-CALL-2,MHHCALL2,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,4.718734239982439,,,,0
ACH-000021,NCI-H1693,NCIH1693,Lung,Non-Small Cell Lung Cancer,6.805743872151619,-0.299654218,0.012640021,0.08099031,0
ACH-000022,PA-TU-8988S,PATU8988S,Pancreas,Pancreatic Adenocarcinoma,5.988209768826978,,0.03743467,-0.071358063,0
ACH-000023,PA-TU-8988T,PATU8988T,Pancreas,Pancreatic Adenocarcinoma,4.976803526489566,-0.018038629,0.010980922,0.092182318,0
ACH-000024,OPM-2,OPM2,Lymphoid,Mature B-Cell Neoplasms,6.716030606699041,1.186019089,0.031560358,-0.011048202,0
